!sava-hardening-baseline-schema,1
software.sava.incident.core.api.IncidentAlertRecord$IncidentAlertBuilder,<init>,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # defensive-copy # line 39
software.sava.incident.core.api.IncidentAlertRecord$IncidentAlertBuilder,create,ConditionalsBoundaryMutator,SURVIVED # copy-on-write # line 56
software.sava.incident.core.api.IncidentAlertRecord$IncidentAlertBuilder,create,RemoveConditionalMutator_ORDER_ELSE,SURVIVED # copy-on-write # line 56
software.sava.incident.core.api.IncidentAlertRecord$IncidentAlertBuilder,create,RemoveConditionalMutator_ORDER_IF,SURVIVED # copy-on-write # line 56
software.sava.incident.core.api.IncidentAlertRecord$IncidentAlertBuilder,customDetail,RemoveConditionalMutator_EQUAL_IF,SURVIVED # copy-on-write # line 103
software.sava.incident.core.api.IncidentClients,createClient,NullReturnValsMutator,NO_COVERAGE # service-loader-binding # line 33
software.sava.incident.core.api.IncidentClients,createClient,NullReturnValsMutator,NO_COVERAGE # service-loader-binding # line 37
software.sava.incident.core.api.IncidentClients,createClient,NullReturnValsMutator,NO_COVERAGE # service-loader-binding # line 41
software.sava.incident.core.api.IncidentClients,loadFactory,NullReturnValsMutator,NO_COVERAGE # service-loader-binding # line 47
software.sava.incident.core.api.IncidentServiceVal,retry,ConditionalsBoundaryMutator,SURVIVED # async-routing # line 71
software.sava.incident.core.api.IncidentServiceVal,retry,RemoveConditionalMutator_ORDER_ELSE,SURVIVED # async-routing # line 71
software.sava.incident.core.api.IncidentServiceVal,retry,RemoveConditionalMutator_ORDER_IF,SURVIVED # async-routing # line 71
