!sava-hardening-baseline-schema,1
software.sava.incident.pagerduty.event.client.PagerDutyEventClientImpl,lambda$static$1,RemoveConditionalMutator_ORDER_IF,SURVIVED # status-boundary # line 80
software.sava.incident.pagerduty.event.client.PagerDutyEventClient$Builder,createClient,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # untriaged # line 78
software.sava.incident.pagerduty.event.client.PagerDutyEventClient$Builder,createClient,RemoveConditionalMutator_EQUAL_IF,SURVIVED # untriaged # line 77
software.sava.incident.pagerduty.event.client.PagerDutyEventClient$Builder,defaultClientName,EmptyObjectReturnValsMutator,NO_COVERAGE # untriaged # line 123
software.sava.incident.pagerduty.event.client.PagerDutyEventClient$Builder,defaultClientUrl,EmptyObjectReturnValsMutator,NO_COVERAGE # untriaged # line 127
software.sava.incident.pagerduty.event.client.PagerDutyEventClient$Builder,lambda$createClient$0,NullReturnValsMutator,NO_COVERAGE # untriaged # line 79
software.sava.incident.pagerduty.event.service.PagerDutyService,build,NullReturnValsMutator,NO_COVERAGE # untriaged # line 16
software.sava.incident.pagerduty.event.service.PagerDutyService,createRetryDelayFn,NullReturnValsMutator,NO_COVERAGE # untriaged # line 20
software.sava.incident.pagerduty.event.service.PagerDutyService,createRetryDelayFn,NullReturnValsMutator,NO_COVERAGE # untriaged # line 26
software.sava.incident.pagerduty.event.service.PagerDutyService,lambda$createRetryDelayFn$0,MathMutator,NO_COVERAGE # untriaged # line 20
software.sava.incident.pagerduty.event.service.PagerDutyService,lambda$createRetryDelayFn$0,PrimitiveReturnsMutator,NO_COVERAGE # untriaged # line 20
software.sava.incident.pagerduty.event.service.PagerDutyService,lambda$createRetryDelayFn$1,ConditionalsBoundaryMutator,NO_COVERAGE # untriaged # line 26
software.sava.incident.pagerduty.event.service.PagerDutyService,lambda$createRetryDelayFn$1,MathMutator,NO_COVERAGE # untriaged # line 28
software.sava.incident.pagerduty.event.service.PagerDutyService,lambda$createRetryDelayFn$1,PrimitiveReturnsMutator,NO_COVERAGE # untriaged # line 26
software.sava.incident.pagerduty.event.service.PagerDutyService,lambda$createRetryDelayFn$1,RemoveConditionalMutator_ORDER_ELSE,NO_COVERAGE # untriaged # line 26
software.sava.incident.pagerduty.event.service.PagerDutyService,resolveEvent,NullReturnValsMutator,NO_COVERAGE # untriaged # line 41
software.sava.incident.pagerduty.event.service.PagerDutyService,resolveEvent,NullReturnValsMutator,NO_COVERAGE # untriaged # line 54
software.sava.incident.pagerduty.event.service.PagerDutyService,resolveEvent,NullReturnValsMutator,NO_COVERAGE # untriaged # line 68
software.sava.incident.pagerduty.event.service.PagerDutyService,resolveEvent,NullReturnValsMutator,NO_COVERAGE # untriaged # line 80
software.sava.incident.pagerduty.event.service.PagerDutyService,resolveEvent,RemoveConditionalMutator_EQUAL_ELSE,NO_COVERAGE # untriaged # line 41
software.sava.incident.pagerduty.event.service.PagerDutyService,resolveEvent,RemoveConditionalMutator_EQUAL_ELSE,NO_COVERAGE # untriaged # line 54
software.sava.incident.pagerduty.event.service.PagerDutyService,resolveEvent,RemoveConditionalMutator_EQUAL_ELSE,NO_COVERAGE # untriaged # line 68
software.sava.incident.pagerduty.event.service.PagerDutyService,resolveEvent,RemoveConditionalMutator_EQUAL_ELSE,NO_COVERAGE # untriaged # line 80
software.sava.incident.pagerduty.event.service.PagerDutyService,resolveEvent,RemoveConditionalMutator_EQUAL_IF,NO_COVERAGE # untriaged # line 41
software.sava.incident.pagerduty.event.service.PagerDutyService,resolveEvent,RemoveConditionalMutator_EQUAL_IF,NO_COVERAGE # untriaged # line 54
software.sava.incident.pagerduty.event.service.PagerDutyService,resolveEvent,RemoveConditionalMutator_EQUAL_IF,NO_COVERAGE # untriaged # line 68
software.sava.incident.pagerduty.event.service.PagerDutyService,resolveEvent,RemoveConditionalMutator_EQUAL_IF,NO_COVERAGE # untriaged # line 80
software.sava.incident.pagerduty.event.service.PagerDutyServiceBuilder,client,NullReturnValsMutator,NO_COVERAGE # untriaged # line 22
software.sava.incident.pagerduty.event.service.PagerDutyServiceBuilder,create,NullReturnValsMutator,NO_COVERAGE # untriaged # line 16
software.sava.incident.pagerduty.event.service.PagerDutyServiceBuilder,eventPrototype,NullReturnValsMutator,NO_COVERAGE # untriaged # line 28
software.sava.incident.pagerduty.event.service.PagerDutyServiceVal,canBeRetried,BooleanTrueReturnValsMutator,NO_COVERAGE # untriaged # line 122
software.sava.incident.pagerduty.event.service.PagerDutyServiceVal,canBeRetried,RemoveConditionalMutator_EQUAL_ELSE,NO_COVERAGE # untriaged # line 124
software.sava.incident.pagerduty.event.service.PagerDutyServiceVal,canBeRetried,RemoveConditionalMutator_EQUAL_ELSE,NO_COVERAGE # untriaged # line 124
software.sava.incident.pagerduty.event.service.PagerDutyServiceVal,canBeRetried,SwitchMutator,NO_COVERAGE # untriaged # line 122
software.sava.incident.pagerduty.event.service.PagerDutyServiceVal,changeEvent,ConditionalsBoundaryMutator,NO_COVERAGE # untriaged # line 241
software.sava.incident.pagerduty.event.service.PagerDutyServiceVal,changeEvent,ConditionalsBoundaryMutator,NO_COVERAGE # untriaged # line 254
